date,station,cargo_tons,wagons_required,station_congestion
2025-01-17,Tunduma,1252,23,0.36
2025-01-17,Mbeya,949,17,0.89
2025-01-17,Makambako,2713,49,0.57
2025-01-17,Morogoro,2189,40,0.13
2025-01-17,Dar es Salaam,1496,27,0.53
2025-01-18,Kapiri Mposhi,2068,37,0.27
2025-01-18,Serenje,331,6,0.47
2025-01-18,Mpika,1171,21,0.14
2025-01-18,Nakonde,377,6,0.66
2025-01-18,Tunduma,619,11,0.88
2025-01-18,Mbeya,1559,28,0.36
2025-01-18,Makambako,1043,19,0.42
2025-01-18,Morogoro,2303,42,0.45
2025-01-18,Dar es Salaam,2482,45,0.3
2025-01-19,Kapiri Mposhi,456,8,0.16
2025-01-19,Serenje,1589,29,0.66
2025-01-19,Mpika,1438,26,0.15
2025-01-19,Nakonde,1022,18,0.23
2025-01-19,Tunduma,1555,28,0.54
2025-01-19,Mbeya,941,17,0.25
2025-01-19,Makambako,1311,23,0.86
2025-01-19,Morogoro,1099,20,0.54
2025-01-19,Dar es Salaam,496,9,0.38
2025-01-20,Kapiri Mposhi,1427,25,0.2
2025-01-20,Serenje,1699,30,0.14
2025-01-20,Mpika,1440,26,0.35
2025-01-20,Nakonde,1384,25,0.66
2025-01-20,Tunduma,1681,30,0.11
2025-01-20,Mbeya,936,17,0.38
2025-01-20,Makambako,2265,41,0.62
2025-01-20,Morogoro,2296,41,0.59
2025-01-20,Dar es Salaam,2126,38,0.79
2025-01-21,Kapiri Mposhi,1822,32,0.65
2025-01-21,Serenje,702,12,0.61
2025-01-21,Mpika,880,15,0.79
2025-01-21,Nakonde,1273,23,0.56
2025-01-21,Tunduma,2066,37,0.47
2025-01-21,Mbeya,2141,38,0.6
2025-01-21,Makambako,1924,34,0.62
2025-01-21,Morogoro,1510,27,0.26
2025-01-21,Dar es Salaam,343,6,0.18
2025-01-22,Kapiri Mposhi,1169,21,0.65
2025-01-22,Serenje,432,7,0.36
2025-01-22,Mpika,2138,38,0.37
2025-01-22,Nakonde,459,8,0.33
2025-01-22,Tunduma,1249,22,0.66
2025-01-22,Mbeya,2017,36,0.85
2025-01-22,Makambako,1142,20,0.74
2025-01-22,Morogoro,1083,19,0.24
2025-01-22,Dar es Salaam,1579,28,0.43
2025-01-23,Kapiri Mposhi,1424,25,0.3
2025-01-23,Serenje,2725,48,0.37
2025-01-23,Mpika,374,6,0.29
2025-01-23,Nakonde,2061,36,0.69
2025-01-23,Tunduma,1307,23,0.4
2025-01-23,Mbeya,2687,48,0.5
2025-01-23,Makambako,1146,20,0.36
2025-01-23,Morogoro,1113,19,0.18
2025-01-23,Dar es Salaam,2158,38,0.11
2025-01-24,Kapiri Mposhi,420,7,0.38
2025-01-24,Serenje,2374,42,0.86
2025-01-24,Mpika,1288,23,0.49
2025-01-24,Nakonde,496,8,0.46
2025-01-24,Tunduma,778,13,0.36
2025-01-24,Mbeya,2007,35,0.7
2025-01-24,Makambako,1643,29,0.73
2025-01-24,Morogoro,2751,49,0.84
2025-01-24,Dar es Salaam,1690,30,0.15
2025-01-25,Kapiri Mposhi,1049,18,0.45
2025-01-25,Serenje,1730,30,0.54
2025-01-25,Mpika,1181,21,0.21
2025-01-25,Nakonde,1409,25,0.59
2025-01-25,Tunduma,2072,36,0.44
2025-01-25,Mbeya,1677,29,0.16
2025-01-25,Makambako,1706,30,0.17
2025-01-25,Morogoro,1963,34,0.89
2025-01-25,Dar es Salaam,2046,36,0.79
2025-01-26,Kapiri Mposhi,1881,33,0.75
2025-01-26,Serenje,915,16,0.83
2025-01-26,Mpika,1834,32,0.7
2025-01-26,Nakonde,2383,42,0.72
2025-01-26,Tunduma,1700,30,0.66
2025-01-26,Mbeya,1144,20,0.83
2025-01-26,Makambako,381,6,0.45
2025-01-26,Morogoro,533,9,0.11
2025-01-26,Dar es Salaam,1743,30,0.56
2025-01-27,Kapiri Mposhi,2249,39,0.2
2025-01-27,Serenje,1279,22,0.76
2025-01-27,Mpika,2561,45,0.7
2025-01-27,Nakonde,2604,45,0.29
2025-01-27,Tunduma,912,16,0.4
2025-01-27,Mbeya,1274,22,0.52
2025-01-27,Makambako,1633,28,0.87
2025-01-27,Morogoro,1116,19,0.88
2025-01-27,Dar es Salaam,2441,43,0.36
2025-01-28,Kapiri Mposhi,431,7,0.52
2025-01-28,Serenje,571,10,0.84
2025-01-28,Mpika,2276,39,0.54
2025-01-28,Nakonde,2112,37,0.16
2025-01-28,Tunduma,2726,47,0.6
2025-01-28,Mbeya,2106,36,0.34
2025-01-28,Makambako,1931,33,0.66
2025-01-28,Morogoro,877,15,0.14
2025-01-28,Dar es Salaam,1520,26,0.87
2025-01-29,Kapiri Mposhi,1448,25,0.42
2025-01-29,Serenje,1105,19,0.37
2025-01-29,Mpika,1652,28,0.25
2025-01-29,Nakonde,444,7,0.41
2025-01-29,Tunduma,959,16,0.16
2025-01-29,Mbeya,388,6,0.31
2025-01-29,Makambako,2568,44,0.66
2025-01-29,Morogoro,1742,30,0.35
2025-01-29,Dar es Salaam,1399,24,0.21
2025-01-30,Kapiri Mposhi,791,13,0.86
2025-01-30,Serenje,637,11,0.56
2025-01-30,Mpika,2576,44,0.43
2025-01-30,Nakonde,1259,21,0.79
2025-01-30,Tunduma,1350,23,0.23
2025-01-30,Mbeya,1509,26,0.4
2025-01-30,Makambako,2862,49,0.89
2025-01-30,Morogoro,2413,42,0.58
2025-01-30,Dar es Salaam,415,7,0.41
2025-01-31,Kapiri Mposhi,1138,19,0.77
2025-01-31,Serenje,2227,38,0.13
2025-01-31,Mpika,933,16,0.32
2025-01-31,Nakonde,941,16,0.65
2025-01-31,Tunduma,2268,39,0.9
2025-01-31,Mbeya,2028,35,0.57
2025-01-31,Makambako,1167,20,0.78
2025-01-31,Morogoro,1692,29,0.29
2025-01-31,Dar es Salaam,2536,44,0.3
2025-02-01,Kapiri Mposhi,1138,19,0.58
2025-02-01,Serenje,2046,35,0.8
2025-02-01,Mpika,910,15,0.59
2025-02-01,Nakonde,2825,48,0.19
2025-02-01,Tunduma,635,10,0.52
2025-02-01,Mbeya,2852,49,0.77
2025-02-01,Makambako,656,11,0.75
2025-02-01,Morogoro,619,10,0.55
2025-02-01,Dar es Salaam,1228,21,0.42
2025-02-02,Kapiri Mposhi,1071,18,0.48
2025-02-02,Serenje,1802,31,0.6
2025-02-02,Mpika,1018,17,0.74
2025-02-02,Nakonde,2845,49,0.21
2025-02-02,Tunduma,1234,21,0.88
2025-02-02,Mbeya,1891,32,0.57
2025-02-02,Makambako,1925,33,0.45
2025-02-02,Morogoro,866,14,0.68
2025-02-02,Dar es Salaam,636,10,0.51
2025-02-03,Kapiri Mposhi,1932,33,0.42
2025-02-03,Serenje,1233,21,0.52
2025-02-03,Mpika,2830,48,0.86
2025-02-03,Nakonde,509,8,0.84
2025-02-03,Tunduma,1926,33,0.72
2025-02-03,Mbeya,2535,43,0.47
2025-02-03,Makambako,2797,48,0.38
2025-02-03,Morogoro,2882,49,0.61
2025-02-03,Dar es Salaam,2571,44,0.53
2025-02-04,Kapiri Mposhi,2857,48,0.42
2025-02-04,Serenje,2614,44,0.61
2025-02-04,Mpika,771,13,0.66
2025-02-04,Nakonde,678,11,0.82
2025-02-04,Tunduma,1130,19,0.63
2025-02-04,Mbeya,2654,45,0.58
2025-02-04,Makambako,1553,26,0.38
2025-02-04,Morogoro,1147,19,0.24
2025-02-04,Dar es Salaam,2021,34,0.54
2025-02-05,Kapiri Mposhi,966,16,0.27
2025-02-05,Serenje,2663,45,0.5
2025-02-05,Mpika,2508,42,0.36
2025-02-05,Nakonde,2811,47,0.6
2025-02-05,Tunduma,1619,27,0.8
2025-02-05,Mbeya,407,6,0.15
2025-02-05,Makambako,1584,26,0.79
2025-02-05,Morogoro,2765,47,0.7
2025-02-05,Dar es Salaam,1850,31,0.89
2025-02-06,Kapiri Mposhi,709,12,0.4
2025-02-06,Serenje,1207,20,0.29
2025-02-06,Mpika,385,6,0.4
2025-02-06,Nakonde,782,13,0.15
2025-02-06,Tunduma,1926,32,0.21
2025-02-06,Mbeya,1562,26,0.82
2025-02-06,Makambako,2444,41,0.12
2025-02-06,Morogoro,2599,44,0.29
2025-02-06,Dar es Salaam,2302,39,0.4
2025-02-07,Kapiri Mposhi,1197,20,0.55
2025-02-07,Serenje,1887,31,0.27
2025-02-07,Mpika,502,8,0.2
2025-02-07,Nakonde,2946,49,0.37
2025-02-07,Tunduma,2804,47,0.64
2025-02-07,Mbeya,432,7,0.62
2025-02-07,Makambako,1737,29,0.17
2025-02-07,Morogoro,484,8,0.69
2025-02-07,Dar es Salaam,1090,18,0.7
2025-02-08,Kapiri Mposhi,2184,36,0.82
2025-02-08,Serenje,2445,41,0.3
2025-02-08,Mpika,1395,23,0.36
2025-02-08,Nakonde,1912,32,0.11
2025-02-08,Tunduma,2412,40,0.39
2025-02-08,Mbeya,2290,38,0.14
2025-02-08,Makambako,1732,29,0.16
2025-02-08,Morogoro,643,10,0.11
2025-02-08,Dar es Salaam,626,10,0.89
2025-02-09,Kapiri Mposhi,1840,30,0.82
2025-02-09,Serenje,913,15,0.88
2025-02-09,Mpika,360,6,0.1
2025-02-09,Nakonde,496,8,0.31
2025-02-09,Tunduma,2763,46,0.63
2025-02-09,Mbeya,2100,35,0.67
2025-02-09,Makambako,2041,34,0.48
2025-02-09,Morogoro,2343,39,0.25
2025-02-09,Dar es Salaam,1715,28,0.67
2025-02-10,Kapiri Mposhi,1222,20,0.51
2025-02-10,Serenje,492,8,0.52
2025-02-10,Mpika,2804,46,0.59
2025-02-10,Nakonde,739,12,0.17
2025-02-10,Tunduma,2648,44,0.22
2025-02-10,Mbeya,2778,46,0.58
2025-02-10,Makambako,1434,24,0.37
2025-02-10,Morogoro,369,6,0.54
2025-02-10,Dar es Salaam,2356,39,0.89
2025-02-11,Kapiri Mposhi,2828,47,0.65
2025-02-11,Serenje,2299,38,0.3
2025-02-11,Mpika,2320,38,0.1
2025-02-11,Nakonde,2749,45,0.48
2025-02-11,Tunduma,2802,46,0.74
2025-02-11,Mbeya,1699,28,0.84
2025-02-11,Makambako,641,10,0.43
2025-02-11,Morogoro,2646,44,0.68
2025-02-11,Dar es Salaam,1749,29,0.26
2025-02-12,Kapiri Mposhi,2248,37,0.84
2025-02-12,Serenje,2591,43,0.73
2025-02-12,Mpika,1409,23,0.7
2025-02-12,Nakonde,2586,43,0.23
2025-02-12,Tunduma,1231,20,0.25
2025-02-12,Mbeya,453,7,0.52
2025-02-12,Makambako,518,8,0.35
2025-02-12,Morogoro,1641,27,0.41
2025-02-12,Dar es Salaam,2600,43,0.45
2025-02-13,Kapiri Mposhi,2638,43,0.7
2025-02-13,Serenje,3003,49,0.56
2025-02-13,Mpika,3005,49,0.82
2025-02-13,Nakonde,967,16,0.53
2025-02-13,Tunduma,1350,22,0.83
2025-02-13,Mbeya,2737,45,0.45
2025-02-13,Makambako,1811,30,0.37
2025-02-13,Morogoro,2136,35,0.23
2025-02-13,Dar es Salaam,2347,38,0.6
2025-02-14,Kapiri Mposhi,2824,46,0.69
2025-02-14,Serenje,1478,24,0.73
2025-02-14,Mpika,1717,28,0.67
2025-02-14,Nakonde,1512,25,0.21
2025-02-14,Tunduma,2609,43,0.71
2025-02-14,Mbeya,2368,39,0.7
2025-02-14,Makambako,1743,28,0.76
2025-02-14,Morogoro,1347,22,0.78
2025-02-14,Dar es Salaam,2857,47,0.74
2025-02-15,Kapiri Mposhi,2905,47,0.43
2025-02-15,Serenje,520,8,0.11
2025-02-15,Mpika,2736,45,0.53
2025-02-15,Nakonde,2589,42,0.58
2025-02-15,Tunduma,2406,39,0.25
2025-02-15,Mbeya,2627,43,0.37
2025-02-15,Makambako,1226,20,0.44
2025-02-15,Morogoro,782,12,0.86
2025-02-15,Dar es Salaam,3019,49,0.21
2025-02-16,Kapiri Mposhi,1562,25,0.3
2025-02-16,Serenje,2359,38,0.8
2025-02-16,Mpika,797,13,0.84
2025-02-16,Nakonde,2632,43,0.62
2025-02-16,Tunduma,1099,18,0.4
2025-02-16,Mbeya,2711,44,0.44
2025-02-16,Makambako,2105,34,0.2
2025-02-16,Morogoro,2356,38,0.89
2025-02-16,Dar es Salaam,2367,38,0.25
2025-02-17,Kapiri Mposhi,2629,43,0.35
2025-02-17,Serenje,1507,24,0.59
2025-02-17,Mpika,1992,32,0.37
2025-02-17,Nakonde,507,8,0.58
2025-02-17,Tunduma,1066,17,0.43
2025-02-17,Mbeya,2349,38,0.84
2025-02-17,Makambako,836,13,0.47
2025-02-17,Morogoro,944,15,0.69
2025-02-17,Dar es Salaam,1511,24,0.13
2025-02-18,Kapiri Mposhi,1299,21,0.21
2025-02-18,Serenje,1178,19,0.56
2025-02-18,Mpika,1839,30,0.44
2025-02-18,Nakonde,2667,43,0.35
2025-02-18,Tunduma,714,11,0.56
2025-02-18,Mbeya,1176,19,0.28
2025-02-18,Makambako,2193,35,0.51
2025-02-18,Morogoro,1405,22,0.87
2025-02-18,Dar es Salaam,1209,19,0.55
2025-02-19,Kapiri Mposhi,786,12,0.17
2025-02-19,Serenje,2484,40,0.25
2025-02-19,Mpika,768,12,0.58
2025-02-19,Nakonde,1582,25,0.7
2025-02-19,Tunduma,1535,25,0.82
2025-02-19,Mbeya,2920,47,0.47
2025-02-19,Makambako,893,14,0.4
2025-02-19,Morogoro,2903,47,0.34
2025-02-19,Dar es Salaam,2079,33,0.46
2025-02-20,Kapiri Mposhi,606,9,0.53
2025-02-20,Serenje,1767,28,0.42
2025-02-20,Mpika,2462,40,0.71
2025-02-20,Nakonde,2732,44,0.37
2025-02-20,Tunduma,435,7,0.86
2025-02-20,Mbeya,1352,21,0.32
2025-02-20,Makambako,2709,44,0.52
2025-02-20,Morogoro,2995,48,0.88
2025-02-20,Dar es Salaam,2613,42,0.67
2025-02-21,Kapiri Mposhi,1396,22,0.54
2025-02-21,Serenje,2663,43,0.28
2025-02-21,Mpika,2579,41,0.12
2025-02-21,Nakonde,1958,31,0.18
2025-02-21,Tunduma,3014,48,0.89
2025-02-21,Mbeya,1988,32,0.78
2025-02-21,Makambako,926,15,0.86
2025-02-21,Morogoro,593,9,0.26
2025-02-21,Dar es Salaam,1384,22,0.82
2025-02-22,Kapiri Mposhi,2912,47,0.61
2025-02-22,Serenje,3090,49,0.78
2025-02-22,Mpika,1502,24,0.57
2025-02-22,Nakonde,471,7,0.81
2025-02-22,Tunduma,2770,44,0.37
2025-02-22,Mbeya,2114,34,0.39
2025-02-22,Makambako,859,13,0.76
2025-02-22,Morogoro,1365,22,0.43
2025-02-22,Dar es Salaam,2545,41,0.39
2025-02-23,Kapiri Mposhi,1706,27,0.34
2025-02-23,Serenje,2261,36,0.88
2025-02-23,Mpika,2092,33,0.21
2025-02-23,Nakonde,2984,48,0.82
2025-02-23,Tunduma,529,8,0.25
2025-02-23,Mbeya,1017,16,0.53
2025-02-23,Makambako,664,10,0.42
2025-02-23,Morogoro,2581,41,0.62
2025-02-23,Dar es Salaam,2916,47,0.21
2025-02-24,Kapiri Mposhi,2954,47,0.24
2025-02-24,Serenje,1372,22,0.11
2025-02-24,Mpika,3077,49,0.19
2025-02-24,Nakonde,2087,33,0.5
2025-02-24,Tunduma,2960,47,0.54
2025-02-24,Mbeya,2115,34,0.68
2025-02-24,Makambako,797,12,0.21
2025-02-24,Morogoro,1175,18,0.69
2025-02-24,Dar es Salaam,1130,18,0.58
2025-02-25,Kapiri Mposhi,2916,46,0.5
2025-02-25,Serenje,2502,40,0.77
2025-02-25,Mpika,1247,20,0.52
2025-02-25,Nakonde,2366,37,0.38
2025-02-25,Tunduma,2673,42,0.69
2025-02-25,Mbeya,1236,19,0.58
2025-02-25,Makambako,1362,21,0.15
2025-02-25,Morogoro,2017,32,0.45
2025-02-25,Dar es Salaam,1789,28,0.68
2025-02-26,Kapiri Mposhi,1936,31,0.86
2025-02-26,Serenje,442,7,0.63
2025-02-26,Mpika,1320,21,0.21
2025-02-26,Nakonde,2013,32,0.32
2025-02-26,Tunduma,1311,21,0.31
2025-02-26,Mbeya,2576,41,0.77
2025-02-26,Makambako,829,13,0.22
2025-02-26,Morogoro,565,9,0.48
2025-02-26,Dar es Salaam,3023,48,0.16
2025-02-27,Kapiri Mposhi,1677,26,0.43
2025-02-27,Serenje,450,7,0.65
2025-02-27,Mpika,2991,47,0.47
2025-02-27,Nakonde,538,8,0.16
2025-02-27,Tunduma,509,8,0.66
2025-02-27,Mbeya,502,8,0.57
2025-02-27,Makambako,2424,38,0.17
2025-02-27,Morogoro,1677,26,0.86
2025-02-27,Dar es Salaam,2278,36,0.25
2025-02-28,Kapiri Mposhi,2059,32,0.87
2025-02-28,Serenje,800,12,0.69
2025-02-28,Mpika,2572,41,0.68
2025-02-28,Nakonde,1266,20,0.88
2025-02-28,Tunduma,1771,28,0.62
2025-02-28,Mbeya,988,15,0.86
2025-02-28,Makambako,434,6,0.14
2025-02-28,Morogoro,1680,26,0.84
2025-02-28,Dar es Salaam,2656,42,0.55
2025-03-01,Kapiri Mposhi,690,10,0.35
2025-03-01,Serenje,797,12,0.66
2025-03-01,Mpika,548,8,0.25
2025-03-01,Nakonde,2290,36,0.44
2025-03-01,Tunduma,2263,36,0.48
2025-03-01,Mbeya,1621,25,0.14
2025-03-01,Makambako,881,14,0.52
2025-03-01,Morogoro,1149,18,0.13
2025-03-01,Dar es Salaam,1863,29,0.39
2025-03-02,Kapiri Mposhi,1790,28,0.81
2025-03-02,Serenje,1882,29,0.37
2025-03-02,Mpika,607,9,0.42
2025-03-02,Nakonde,425,6,0.35
2025-03-02,Tunduma,2107,33,0.63
2025-03-02,Mbeya,396,6,0.44
2025-03-02,Makambako,1803,28,0.29
2025-03-02,Morogoro,768,12,0.47
2025-03-02,Dar es Salaam,1064,16,0.12
2025-03-03,Kapiri Mposhi,1336,21,0.25
2025-03-03,Serenje,2016,31,0.85
2025-03-03,Mpika,2795,44,0.9
2025-03-03,Nakonde,414,6,0.71
2025-03-03,Tunduma,979,15,0.13
2025-03-03,Mbeya,1322,20,0.6
2025-03-03,Makambako,2615,41,0.89
2025-03-03,Morogoro,713,11,0.17
2025-03-03,Dar es Salaam,806,12,0.69
2025-03-04,Kapiri Mposhi,2973,47,0.47
2025-03-04,Serenje,854,13,0.33
2025-03-04,Mpika,563,8,0.29
2025-03-04,Nakonde,924,14,0.11
2025-03-04,Tunduma,2907,45,0.44
2025-03-04,Mbeya,1597,25,0.27
2025-03-04,Makambako,2961,46,0.74
2025-03-04,Morogoro,1566,24,0.57
2025-03-04,Dar es Salaam,1399,22,0.8
2025-03-05,Kapiri Mposhi,2059,32,0.58
2025-03-05,Serenje,1755,27,0.59
2025-03-05,Mpika,1357,21,0.29
2025-03-05,Nakonde,2069,32,0.59
2025-03-05,Tunduma,2140,33,0.28
2025-03-05,Mbeya,665,10,0.41
2025-03-05,Makambako,1566,24,0.25
2025-03-05,Morogoro,2802,44,0.38
2025-03-05,Dar es Salaam,2656,41,0.6
2025-03-06,Kapiri Mposhi,1302,20,0.81
2025-03-06,Serenje,1705,26,0.9
2025-03-06,Mpika,2407,37,0.31
2025-03-06,Nakonde,1459,22,0.66
2025-03-06,Tunduma,383,6,0.75
2025-03-06,Mbeya,1371,21,0.28
2025-03-06,Makambako,2958,46,0.13
2025-03-06,Morogoro,1116,17,0.56
2025-03-06,Dar es Salaam,2019,31,0.8
2025-03-07,Kapiri Mposhi,1637,25,0.48
2025-03-07,Serenje,1931,30,0.86
2025-03-07,Mpika,2105,33,0.13
2025-03-07,Nakonde,2271,35,0.62
2025-03-07,Tunduma,2185,34,0.17
2025-03-07,Mbeya,1632,25,0.3
2025-03-07,Makambako,428,6,0.31
2025-03-07,Morogoro,1906,29,0.5
2025-03-07,Dar es Salaam,957,15,0.87
2025-03-08,Kapiri Mposhi,2562,40,0.65
2025-03-08,Serenje,1620,25,0.78
2025-03-08,Mpika,2069,32,0.48
2025-03-08,Nakonde,3137,49,0.76
2025-03-08,Tunduma,2409,37,0.63
2025-03-08,Mbeya,3041,47,0.55
2025-03-08,Makambako,2640,41,0.69
2025-03-08,Morogoro,656,10,0.74
2025-03-08,Dar es Salaam,3107,48,0.78
2025-03-09,Kapiri Mposhi,2557,40,0.37
2025-03-09,Serenje,2573,40,0.64
2025-03-09,Mpika,625,9,0.66
2025-03-09,Nakonde,1275,19,0.23
2025-03-09,Tunduma,1092,17,0.8
2025-03-09,Mbeya,1728,27,0.76
2025-03-09,Makambako,2391,37,0.23
2025-03-09,Morogoro,1133,17,0.51
2025-03-09,Dar es Salaam,758,11,0.25
2025-03-10,Kapiri Mposhi,2362,36,0.59
2025-03-10,Serenje,1835,28,0.55
2025-03-10,Mpika,842,13,0.31
2025-03-10,Nakonde,1276,19,0.11
2025-03-10,Tunduma,1245,19,0.2
2025-03-10,Mbeya,1131,17,0.45
2025-03-10,Makambako,1652,25,0.37
2025-03-10,Morogoro,1113,17,0.24
2025-03-10,Dar es Salaam,3047,47,0.18
2025-03-11,Kapiri Mposhi,1944,30,0.24
2025-03-11,Serenje,1002,15,0.15
2025-03-11,Mpika,1318,20,0.23
2025-03-11,Nakonde,1557,24,0.67
